No de client;Produit;Date; QuantitÇ ;Prix unitaire;Panne = U;Actif = 0;CapacitÇ citerne;Automatique = 1;Limite degrÇs jour;Degres jour cumulÇs;Temperature
231095;G;01-01-19;1.000;0;49480 ?;;0;41185;0;0;9
1226;G;02-01-19;1.000;0;49480 ?;;0;0;0;0;5
7059;G;02-01-19;996;0;49480 ?;;0;0;0;0;5
7349;G;02-01-19;1.126;0;46030 ?;;0;71085;0;0;5
12487;G;02-01-19;4.554;0;47120 ?;;0;300687;0;0;5
12487;G;02-01-19;-6.647;0;41770 ?;;0;7000;0;996;5
13114;G;02-01-19;2.000;0;49480 ?;;0;0;0;0;5
14187;G;02-01-19;2.000;0;49480 ?;;0;280586;0;0;5
16364;G;02-01-19;700;0;49480 ?;;0;0;0;0;5
18320;G;02-01-19;1.000;0;49480 ?;;0;0;0;0;5
22198;GX;02-01-19;25;0;49420 ?;;0;2600;1;1500;5
23109;G;02-01-19;2.000;0;49480 ?;;0;50387;0;0;5
50842;G;02-01-19;1.000;0;49480 ?;;0;120286;0;0;5
53448;G;02-01-19;1.000;0;46030 ?;;0;210185;0;0;5
54059;G;02-01-19;1.000;0;49480 ?;;0;0;0;0;5
54198;G;02-01-19;500;0;49480 ?;;0;0;0;0;5
54288;G;02-01-19;2.000;0;49480 ?;;0;180587;0;0;5
55400;G;02-01-19;1.950;0;46030 ?;;0;0;0;0;5
59453;G;02-01-19;1.500;0;49480 ?;;0;221085;0;0;5
59487;G;02-01-19;500;0;49480 ?;;0;0;0;0;5
60035;G;02-01-19;3.000;0;49480 ?;;0;110886;0;0;5
60793;GX;02-01-19;3.902;0;47070 ?;;0;190287;0;0;5
60793;G;02-01-19;8.482;0;47130 ?;;0;30387;0;0;5
60996;G;02-01-19;1.000;0;49480 ?;;0;161058;0;0;5
61654;G;02-01-19;2.000;0;49480 ?;;0;40185;0;0;5
62153;G;02-01-19;500;0;49480 ?;;0;0;0;0;5
62697;G;02-01-19;1.000;0;47730 ?;;0;41186;0;0;5
62811;G;02-01-19;1.000;0;49480 ?;;0;61184;0;0;5
63145;G;02-01-19;2.000;0;49480 ?;;0;3200;0;0;5
63497;G;02-01-19;2.000;0;49480 ?;;0;0;0;0;5
100216;G;02-01-19;2.000;0;47130 ?;;0;151183;0;0;5
100289;G;02-01-19;1.500;0;49480 ?;;0;0;0;0;5
100485;G;02-01-19;2.177;0;49480 ?;;0;11087;0;0;5
100730;G;02-01-19;2.000;0;47130 ?;;0;120886;0;0;5
100860;G;02-01-19;6.000;0;47130 ?;;0;0;0;0;5
100860;G;02-01-19;10.650;0;47120 ?;;0;300687;0;0;5
100927;G;02-01-19;485;0;49480 ?;;0;50384;0;0;5
101115;G;02-01-19;1.500;0;45030 ?;;0;0;0;0;5
101882;G;02-01-19;1.000;0;49480 ?;;0;0;0;0;5
